pmid,title,year,journal,pubtypes,query_lanes,modules,priority,screening_decision,screening_reason,claim_extraction_candidate,pubmed_url
42207391,A Systematic Review of Functional Brain Imaging Studies in Neurofibromatosis 1.,2026,Neuropsychology review,Journal Article; Review,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42207391/
42207058,Effect of non-invasive brain stimulation (NIBS) techniques on neuropathic pain in patients with peripheral neuropathies. A systematic review with meta-analysis.,2026,Neuromodulation : journal of the International Neuromodulation Society,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42207058/
42204340,"A generic, rapid and robust platform for personalized functional circuit-guided neuromodulation targeting.",2026,Nature protocols,Journal Article; Review,fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; protocol_literacy; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42204340/
42204011,Efficacy and safety of pharmacological and non-invasive brain stimulation for adolescent bipolar depression: a systematic review and network meta-analysis.,2026,International journal of bipolar disorders,Journal Article; Review,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42204011/
42203154,"Efficacy and Durability of Therapies for Neurogenic Lower Urinary Tract Dysfunction: A Network Meta-analysis of Botulinum Toxin A, Instillations, and Neuromodulation.",2026,Toxicon : official journal of the International Society on Toxinology,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations,mechanisms; safety_side_effects; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42203154/
42202535,Neuromodulation techniques for managing overactive bladder.,2026,Autonomic neuroscience : basic & clinical,Journal Article; Review,guidelines_consensus_reviews; master_tms_not_animal_only; safety_side_effects_sensations,safety_side_effects; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42202535/
42193476,Navigated Transcranial Magnetic Stimulation (nTMS): From Functional Brain Mapping to Clinical Applications in Neurosurgery and Neurology.,2026,Biomedicines,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42193476/
42192839,Noninvasive Brain Stimulation Techniques and Their Efficacy in Treating Cognition and Memory in Mild Cognitive Impairment and Alzheimer's Disease-A Systematic Review.,2026,Brain sciences,Journal Article; Review,guidelines_consensus_reviews; master_tms_not_animal_only; technician_equipment_localization,technician_workflow; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42192839/
42192794,Efficacy of Non-Invasive Brain Stimulation in Improving Working Memory in Children and Adolescents with Attention-Deficit/Hyperactivity Disorder: A Systematic Review.,2026,Brain sciences,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42192794/
42192357,Digital and repetitive transcranial magnetic stimulation interventions for perinatal depression and anxiety: a systematic review.,2026,BMC psychiatry,Journal Article; Systematic Review,clinical_depression_protocols; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; patient_experience_adherence_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42192357/
42191032,"Network dysregulation in depression: A synthesis of HPA Axis, BDNF signaling, and neurotransmitter interactions across multidimensional systems.",2026,"Pharmacology, biochemistry, and behavior",Journal Article; Review,clinical_depression_protocols; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; technician_equipment_localization,mechanisms; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42191032/
42188681,Repetitive Transcranial Magnetic Stimulation in Migraine: Clinical Outcomes and Neurobiological Mechanisms-A Systematic Review.,2026,Neurology international,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42188681/
42182564,"Transcranial magnetic stimulation from healthy brain aging to Alzheimer's disease: a review on mechanisms, therapeutic potential, and future clinical directions.",2026,Frontiers in aging neuroscience,Journal Article; Review,guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity,mechanisms; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42182564/
42180209,Prognostic accuracy of transcranial magnetic stimulation-induced motor evoked potentials on recovery of upper limb: a systematic review.,2026,Frontiers in neurology,Journal Article; Systematic Review,guidelines_consensus_reviews; master_tms_not_animal_only,guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42180209/
42179725,Non-invasive neuroregulation techniques applied to patients with consciousness disorders: a narrative review.,2026,Frontiers in human neuroscience,Journal Article; Review,dosing_protocol_variants; fnirs_eeg_qeeg_biomarkers; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; safety_side_effects_sensations; technician_equipment_localization,mechanisms; safety_side_effects; technician_workflow; protocol_literacy; measurement_expansion; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42179725/
42171529,Efficacy and Safety of Repetitive Transcranial Magnetic Stimulation (rTMS) in Peripheral Neuropathic Pain: A GRADE-Assessed Meta-Analysis of Randomized Sham-Controlled Trials.,2026,Pain practice : the official journal of World Institute of Pain,Journal Article; Meta-Analysis; Systematic Review; Review,guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42171529/
42167925,Neuromodulation for Subjective Tinnitus: A Systematic Review and Meta-Analysis of Randomized Trials.,2026,The Laryngoscope,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42167925/
42164210,Management of Treatment-Resistant Depression: An Updated Narrative Review of Current and Emerging Treatments.,2026,Cureus,Journal Article; Review,clinical_depression_protocols; dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations,safety_side_effects; patient_faq_adherence; state_factors; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42164210/
42160573,Rebooting the Brain: Non Invasive Brain Stimulation and the Future of Neurorehabilitation.,2026,JPMA. The Journal of the Pakistan Medical Association,Journal Article; Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; mechanisms_neuroplasticity; patient_experience_adherence_state; safety_side_effects_sensations,mechanisms; safety_side_effects; patient_faq_adherence; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42160573/
42158150,The effect of different transcranial magnetic stimulation protocols on pain scores in patients with neuropathic pain: a systematic review and meta-analysis.,2026,Frontiers in psychiatry,Journal Article; Systematic Review,dosing_protocol_variants; guidelines_consensus_reviews; master_tms_not_animal_only; medication_sleep_caffeine_state; psychiatric_indications; safety_side_effects_sensations; technician_equipment_localization,safety_side_effects; patient_faq_adherence; state_factors; technician_workflow; protocol_literacy; guidelines_reviews,2,include_claim_extraction,review_guideline_consensus_or_meta_analysis,True,https://pubmed.ncbi.nlm.nih.gov/42158150/
