claim_id,module,audience,question,claim,patient_answer,technician_detail,evidence_strength,source_pmids,source_labels,clinical_action,caveat,status
MEC-001,Mechanisms,patient_and_technician,What does the magnetic pulse do?,"A TMS coil carries a brief current pulse that creates a changing magnetic field, which induces an electric field in nearby brain tissue.",The coil does not put electricity directly through the scalp. It uses a magnetic pulse to induce tiny electrical currents in the targeted brain area.,"Dose at cortex depends on coil type, location, orientation, intensity, scalp-to-cortex distance, and anatomy.",strong,33243615; 19833552,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research.",Use this wording to explain basic mechanism without implying direct electrical injection.,"This is a physical mechanism claim, not a guarantee of clinical response.",ready_for_training_draft_after_full_text_QA
MEC-002,Mechanisms,patient_and_technician,Why are treatments repeated over many sessions?,"Repeated TMS sessions are intended to produce cumulative changes in cortical excitability and network function, not just a transient sensation during the session.","The benefit is usually expected to build over repeated sessions, much like practicing a pattern with the brain rather than flipping an instant switch.",Avoid promising same-day improvement; treatment effects can emerge gradually and vary across protocols and patients.,strong,31901449; 28541649; 27090022,31901449: Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018). | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.,Frame adherence as part of cumulative dosing.,"Individual response timing varies and depends on diagnosis, protocol, and patient factors.",ready_for_training_draft_after_full_text_QA
MEC-003,Mechanisms,technician,What is theta burst stimulation?,Theta burst stimulation uses patterned bursts of pulses designed to produce lasting excitability changes with shorter stimulation times than many conventional rTMS protocols.,Theta burst is a shorter patterned form of TMS. The pattern is chosen because it can affect brain excitability efficiently.,"Classic motor-cortex studies found iTBS and cTBS can shift excitability in different directions, but individual responses are variable.",moderate,15664172; 18566003; 21221011,15664172: Theta burst stimulation of the human motor cortex. | 18566003: The physiological basis of the effects of intermittent theta burst stimulation of the human motor cortex. | 21221011: Safety of theta burst transcranial magnetic stimulation: a systematic review of the literature.,"Teach iTBS/cTBS as protocol-specific patterns, not interchangeable abbreviations.",Motor-cortex physiology does not translate perfectly to every psychiatric target.,ready_for_training_draft_after_full_text_QA
MEC-004,Mechanisms,patient_and_technician,Why target the DLPFC in depression?,"Depression protocols commonly target prefrontal regions, especially left DLPFC, because these regions participate in mood-relevant cognitive-control and limbic networks.","For depression, TMS usually targets a frontal brain network involved in mood regulation, attention, and emotional control.",Do not describe DLPFC as a single depression switch. It is a network target with protocol- and localization-dependent effects.,strong,28541649; 27090022; 17573044; 31901449,28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder. | 17573044: Efficacy and safety of transcranial magnetic stimulation in the acute treatment of major depression: a multisite randomized controlled trial. | 31901449: Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018).,Use network language in patient education.,"Exact target selection varies by clinic, device, diagnosis, and protocol.",ready_for_training_draft_after_full_text_QA
MEC-005,Mechanisms,patient_and_technician,Is motor threshold a depression measure?,"Resting motor threshold is a calibration measure of motor-cortex excitability used to scale stimulation intensity, not a measure of mood severity.",The thumb or hand twitch test helps set a personalized treatment dose. It is not a test of how depressed you are.,RMT should be documented as a dosing calibration variable with method and muscle/site details.,strong,33243615; 41949547; 42082007,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 41949547: Comparison of 4 Methods to Estimate the Resting Motor Threshold Using Transcranial Magnetic Stimulation: Rossini-Rothwell, 2-Threshold, Adaptive Threshold Hunting, and Stimulus-Response Curve Approaches. | 42082007: 'RMT-Finder': An automated procedure to determine the Resting Motor Threshold for Transcranial Magnetic Stimulation.",Correct patient misconceptions during mapping.,"Some research links excitability metrics to physiology, but clinical dosing use is the main technician-facing point.",ready_for_training_draft_after_full_text_QA
MEC-006,Mechanisms,technician,Why is brain state consistency emphasized?,"TMS effects are state-dependent: sleep, caffeine, medications, cortical excitability, attention, and time of day can alter neurophysiological responses.",Keeping your usual routine steady helps the clinic stimulate under similar conditions each day.,"Record meaningful state changes and notify the prescriber when changes could affect safety, tolerability, or dosing.",moderate,37738899; 39756660; 41346487; 36911138; 34872405,37738899: Influence of time of day on resting motor threshold in clinical TMS practice. | 39756660: Cortical excitability on sleep deprivation measured by transcranial magnetic stimulation: A systematic review and meta-analysis. | 41346487: Chronic caffeine consumption on clinical TMS outcomes: A naturalistic retrospective analysis. | 36911138: Chronic caffeine consumption curbs rTMS-induced plasticity. | 34872405: Habitual caffeine consumption moderates the antidepressant effect of dorsomedial intermittent theta-burst transcranial magnetic stimulation.,Ask about major changes before sessions and document them.,Evidence is stronger for neurophysiologic variability than for simple rules that guarantee better clinical response.,ready_for_training_draft_after_full_text_QA
MEC-007,Mechanisms,patient_and_technician,Can behavior make TMS work better?,"Consistent sleep, caffeine, medications, and substance use can reduce avoidable variability, but evidence does not support promising that any single behavior will make TMS work.","The best practical advice is consistency: keep your normal caffeine, sleep, and medication routine unless your clinician changes it.","Avoid coaching patients to increase caffeine, skip medicines, or change sleep to chase a stronger effect.",moderate,33243615; 39756660; 41346487; 36911138; 34872405,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 39756660: Cortical excitability on sleep deprivation measured by transcranial magnetic stimulation: A systematic review and meta-analysis. | 41346487: Chronic caffeine consumption on clinical TMS outcomes: A naturalistic retrospective analysis. | 36911138: Chronic caffeine consumption curbs rTMS-induced plasticity. | 34872405: Habitual caffeine consumption moderates the antidepressant effect of dorsomedial intermittent theta-burst transcranial magnetic stimulation.",Use consistency language rather than optimization claims.,Patient-specific medical advice belongs to the treating clinician.,ready_for_training_draft_after_full_text_QA
MEC-008,Mechanisms,technician,How should we discuss biomarkers?,"EEG, qEEG, fNIRS, and TMS-EEG biomarkers are promising but should be presented as emerging tools unless locally validated for a defined clinical decision.","Some clinics and studies measure brain signals around TMS, but these tests do not yet provide a guaranteed prediction for every patient.","Label biomarker workflows as research, exploratory, or validated according to the clinic's actual protocol and evidence.",moderate,41483580; 42066923; 42055012,41483580: EEG biomarkers for a precision-medicine approach to noninvasive brain stimulation for major depressive disorder. | 42066923: Exploratory decoding of TMS-EEG: Predicting TEP response to intermittent and continuous theta burst stimulation. | 42055012: Effective correction of extreme capacitive artifacts in TMS-EEG via windowed detrending.,Prevent overinterpretation of qEEG/fNIRS readouts.,Specific devices or algorithms may have local validation not captured by broad PubMed screening.,ready_for_training_draft_after_full_text_QA
SAF-001,Safety and Side Effects,patient_and_technician,What side effects are common?,"The common side effects of TMS are usually local and transient, especially scalp discomfort, headache, facial muscle twitching, and fatigue.",The most common issues are temporary scalp discomfort or headache. Tell staff if it becomes intense or different from usual.,"Track side effect type, intensity, timing, protocol changes, and whether intervention was needed.",strong,33243615; 19833552; 28541649; 27090022,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.",Normalize expected sensations while keeping adverse-event reporting active.,"Side effect profile varies by protocol, coil, target, intensity, and patient history.",ready_for_training_draft_after_full_text_QA
SAF-002,Safety and Side Effects,patient_and_technician,How rare are seizures?,"TMS-associated seizure is rare when modern safety guidelines and screening are followed, but it is the key serious acute risk technicians must be prepared for.","Seizures are rare, but the clinic screens carefully because safety matters.","Know the clinic seizure-response procedure, stop stimulation immediately, protect the patient, and summon medical help.",strong,33243615; 19833552; 34133991; 9474057,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 34133991: Seizure risk with repetitive TMS: Survey results from over a half-million treatment sessions. | 9474057: Risk and safety of repetitive transcranial magnetic stimulation: report and suggested guidelines from the International Workshop on the Safety of Repetitive Transcranial Magnetic Stimulation, June 5-7, 1996.",Use screening and emergency readiness as core competencies.,"Risk is not zero and can change with sleep loss, medications, substances, neurological illness, and protocol parameters.",ready_for_training_draft_after_full_text_QA
SAF-003,Safety and Side Effects,patient_and_technician,Why use ear protection?,"Ear protection is recommended because the coil click can be loud, even though permanent hearing injury is not expected when appropriate precautions are used.",The earplugs are for the loud clicking sound from the coil.,Confirm hearing protection before each session and document exceptions according to policy.,strong,33243615; 19833552; 1549231,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 1549231: No evidence of hearing loss in humans due to transcranial magnetic stimulation.",Make ear protection a non-negotiable setup step.,Patients with hearing devices or auditory sensitivity may need clinician-specific handling.,ready_for_training_draft_after_full_text_QA
SAF-004,Safety and Side Effects,technician,What must be screened before treatment?,"TMS screening should cover seizure history, neurological illness, implanted or ferromagnetic material, electronic devices, pregnancy status where relevant, medication/substance changes, and prior adverse reactions.",The safety questions check for rare situations where magnetic stimulation may need special review.,Use the clinic's formal checklist and escalate changes rather than making independent clearance decisions.,strong,33243615; 19833552; 11332408,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 11332408: A safety screening questionnaire for transcranial magnetic stimulation.",Run an update screen at baseline and before sessions as local policy requires.,Final eligibility decisions are clinician responsibilities.,ready_for_training_draft_after_full_text_QA
SAF-005,Safety and Side Effects,technician,What symptoms require escalation?,"Seizure, loss of consciousness, syncope, chest pain, new neurological symptoms, severe unusual headache, mania/hypomania symptoms, or persistent confusion require immediate escalation.","Tell staff right away if anything feels severe, unusual, or not like your normal treatment sensation.",Stop stimulation and follow emergency or prescriber-notification policy; document objective observations.,strong,33243615; 19833552; 28541649,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression.",Build escalation triggers into technician training.,Clinics should adapt wording to local medical protocols.,ready_for_training_draft_after_full_text_QA
SAF-006,Safety and Side Effects,technician,Are theta burst protocols safe?,"Theta burst stimulation has a safety literature, but safety depends on protocol parameters, patient selection, and adherence to updated guidelines.",Shorter protocols still follow safety rules. Shorter does not mean casual.,"Verify exact iTBS/cTBS protocol, intensity, train structure, pulse count, and contraindication screening.",moderate,21221011; 33243615; 29726344,"21221011: Safety of theta burst transcranial magnetic stimulation: a systematic review of the literature. | 33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 29726344: Effectiveness of theta burst versus high-frequency repetitive transcranial magnetic stimulation in patients with depression (THREE-D): a randomised non-inferiority trial.","Treat TBS setup as protocol-specific, not as a generic shorter rTMS.",Older safety reviews predate some accelerated protocols.,ready_for_training_draft_after_full_text_QA
SAF-007,Safety and Side Effects,technician,How should medication changes be handled?,"Medication changes can affect seizure threshold, cortical excitability, tolerability, and possibly clinical response, so technicians should document changes and alert the treating clinician.",Take medications as prescribed and tell us about changes. Do not stop or change medicines for TMS unless your clinician tells you to.,"Pay special attention to benzodiazepines, anticonvulsants, stimulants, substances, and medications known to affect seizure threshold.",strong,33243615; 19833552; 38299320; 31368628,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 38299320: Do benzodiazepines reduce the efficacy of transcranial magnetic stimulation? | 31368628: Therapeutic High-Frequency Repetitive Transcranial Magnetic Stimulation Concurrently Improves Mood and Anxiety in Patients Using Benzodiazepines.",Create a medication-change escalation rule.,Evidence on benzodiazepines and efficacy is mixed; safety review is separate from efficacy speculation.,ready_for_training_draft_after_full_text_QA
SAF-008,Safety and Side Effects,patient_and_technician,Can TMS trigger mania?,"Mood switching or mania/hypomania is uncommon but clinically important, especially in bipolar-spectrum illness or when symptoms change rapidly.","Report unusually elevated mood, decreased need for sleep, impulsivity, agitation, or feeling unlike yourself.",Escalate suspected manic or mixed symptoms to the treating clinician before continuing treatment.,moderate,33243615; 28541649; 31901449,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 31901449: Evidence-based guidelines on the therapeutic use of repetitive transcranial magnetic stimulation (rTMS): An update (2014-2018).",Include mania symptom prompts in safety training.,Risk assessment is diagnosis- and medication-dependent.,ready_for_training_draft_after_full_text_QA
FAQ-001,Patient FAQ,patient,Why does it feel like tapping?,"The tapping sensation is usually from magnetic pulses activating scalp nerves and muscles near the coil, not from tissue damage.",The tapping or pulsing feeling is expected. It comes from the pulse and nearby scalp muscles/nerves reacting.,"Differentiate expected tapping from sharp, escalating, or unusual pain.",strong,33243615; 19833552,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research.",Use during first-session coaching.,Painful or unusual sensations still need assessment.,ready_for_training_draft_after_full_text_QA
FAQ-002,Patient FAQ,patient,Should I keep caffeine the same?,"Caffeine can affect cortical excitability and may moderate TMS-related plasticity or outcomes, so consistency is more defensible than increasing or stopping caffeine abruptly.",Try to have about your usual amount of caffeine each treatment day unless your clinician advises otherwise.,"Document major caffeine changes, especially around motor threshold changes, discomfort, anxiety, or sleep disruption.",moderate,41346487; 36911138; 34872405,41346487: Chronic caffeine consumption on clinical TMS outcomes: A naturalistic retrospective analysis. | 36911138: Chronic caffeine consumption curbs rTMS-induced plasticity. | 34872405: Habitual caffeine consumption moderates the antidepressant effect of dorsomedial intermittent theta-burst transcranial magnetic stimulation.,"Teach consistency, not caffeine optimization.",Evidence is still emerging and does not define a universal caffeine dose.,ready_for_training_draft_after_full_text_QA
FAQ-003,Patient FAQ,patient,Does sleep matter?,"Sleep deprivation can change cortical excitability and may affect mood, tolerability, and treatment-day brain state.",Aim for your usual sleep schedule and tell us if you slept very poorly or stayed up all night.,"Sleep deprivation is a safety and state-dependence flag, especially if combined with medication or substance changes.",moderate,39756660; 33243615,"39756660: Cortical excitability on sleep deprivation measured by transcranial magnetic stimulation: A systematic review and meta-analysis. | 33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines.",Add sleep-change prompts to daily check-in.,The evidence does not support a single sleep-hour cutoff for all patients.,ready_for_training_draft_after_full_text_QA
FAQ-004,Patient FAQ,patient,Should I take my medications as usual?,Patients should take medications as prescribed and report changes; technicians should not advise medication changes to influence TMS response.,"Take your medications the usual way unless your prescriber tells you otherwise, and tell us about any changes.","Medication changes are clinician-review items because they can affect seizure threshold, excitability, and symptoms.",strong,33243615; 19833552; 28541649,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression.",Make medication consistency part of patient onboarding.,Urgent medication questions should be routed to the prescriber.,ready_for_training_draft_after_full_text_QA
FAQ-005,Patient FAQ,patient,What if I miss a session?,"TMS protocols are designed as repeated courses, so missed sessions should be handled according to prescriber and clinic protocol rather than made up casually.",Call the clinic if you miss a session. Do not try to double up unless the treatment team specifically schedules it.,"Document missed sessions and follow local rules for makeups, extension, or prescriber review.",clinic-policy-dependent,28541649; 27090022,28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.,Build a missed-session workflow.,Published guidelines do not replace device- and clinic-specific orders.,ready_for_training_draft_after_full_text_QA
FAQ-006,Patient FAQ,patient,When should I expect improvement?,"Antidepressant response often emerges over a course of treatment, and early nonresponse does not mean the course has failed.","Some people notice changes early, but many need multiple weeks. Keep reporting symptoms honestly as treatment continues.",Use validated scales and prescriber review rather than informal technician impressions.,strong,17573044; 28541649; 27090022,17573044: Efficacy and safety of transcranial magnetic stimulation in the acute treatment of major depression: a multisite randomized controlled trial. | 28541649: Consensus Recommendations for the Clinical Application of Repetitive Transcranial Magnetic Stimulation (rTMS) in the Treatment of Depression. | 27090022: The Clinical TMS Society Consensus Review and Treatment Recommendations for TMS Therapy for Major Depressive Disorder.,Set expectations at intake and reinforce during the course.,Accelerated protocols may have different response timing.,ready_for_training_draft_after_full_text_QA
FAQ-007,Patient FAQ,patient,Can I drink alcohol or use cannabis during the course?,"Substance use changes can affect sleep, seizure threshold, mood, and treatment-day brain state, so they should be reported and handled by clinical policy.","Tell the clinic about alcohol, cannabis, or other substance changes. The goal is safety and consistent treatment conditions.","Escalate intoxication, withdrawal concern, or major use changes before treatment.",strong,33243615; 19833552,"33243615: Safety and recommendations for TMS use in healthy subjects and patient populations, with updates on training, ethical and regulatory issues: Expert Guidelines. | 19833552: Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research.",Include substance-use changes in daily screening.,Specific abstinence rules vary by clinic and diagnosis.,ready_for_training_draft_after_full_text_QA
